tileNumber,tumor_stroma_log_cd8_ratio,tumor_CD8_density,stromal_CD8_density,aSMA_stroma_area,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
229,0,0,308.665,46.204,1589.299,34.956,0.022
230,0.06,17.855,296.991,52.464,989.972,119.036,0.12
231,0.047,7.982,170.153,45.171,529.365,47.889,0.09
232,0,0,1025.778,15.817,3855.273,70.575,0.018
233,0,0,843.099,10.692,1744.343,27.043,0.016
234,0,0,118.841,42.411,629.859,8.669,0.014
235,0,0,305.503,59.459,744.663,54.917,0.074
236,0.225,29.389,130.815,82.299,588.67,39.185,0.067
237,0,0,444.365,82.946,1235.075,0,0
238,0,0,80.108,82.701,410.552,14.477,0.035
239,0,0,162.975,65.205,488.925,0,0
240,NA,NA,313.945,52.185,1395.781,NA,NA
241,0.023,8.596,379.685,46.917,1456.929,34.384,0.024
242,0,0,111.914,60.091,589.024,57.898,0.098
243,0,0,18.158,69.273,266.324,26.328,0.099
244,NA,0,0,58.951,235.575,0,0
245,0,0,144.021,40.531,642.555,0,0
246,0.048,9.167,190.384,25.266,1142.306,27.502,0.024
247,0.105,7.616,72.673,22.889,678.285,30.464,0.045
248,NA,0,99.813,19.176,598.88,19.371,0.032
249,0,0,359.682,56.061,1522.224,131.244,0.086
250,0.53,87.908,165.883,6.182,714.221,87.908,0.123
251,0.03,11.45,376.571,10.674,1955.275,22.9,0.012
252,0,0,171.013,13.944,965.001,120.562,0.125
253,NA,NA,441.589,48.283,1770.372,NA,NA
254,0,0,878.526,22.965,2518.96,85.719,0.034
255,0,0,202.632,14.165,2026.315,13.969,0.007
256,NA,10.879,NA,16.167,NA,38.075,NA
257,0,0,396.649,71.820,1331.607,36.867,0.028
258,0,0,606.764,8.231,2736.629,36.492,0.013
259,0,0,177.619,15.801,450.878,50.277,0.112
260,NA,0,NA,18.246,NA,15.331,NA
261,0,0,20.32,67.716,233.678,32.487,0.139
262,0,0,20.069,73.553,130.449,16.381,0.126
263,0,0,29.871,76.369,169.271,7.673,0.045
264,0,0,42.928,70.311,75.124,0,0
265,0,0,18.742,56.766,46.855,12.897,0.275
266,NA,NA,504.747,52.613,3746.773,NA,NA
267,0.068,22.567,333.264,58.739,1312.654,22.567,0.017
268,0.033,8.624,259.153,42.095,1337.563,17.248,0.013
269,0,0,47.338,63.643,410.264,13.142,0.032
270,0,0,73.777,49.640,295.108,12.365,0.042
271,0.341,8.787,25.802,49.144,352.628,105.445,0.299
272,NA,0,NA,53.210,NA,12.609,NA
273,0.054,7.095,130.861,10.758,828.784,35.477,0.043
274,0,0,117.485,8.590,979.041,14.092,0.014
275,0.169,7.98,47.138,72.472,490.232,23.939,0.049
276,0,0,227.653,42.277,1179.659,24.364,0.021
277,0.049,21.053,425.366,9.002,1995.469,168.423,0.084
278,0,0,257.482,33.127,1466.867,55.08,0.038
279,NA,NA,334.475,32.096,1556.595,NA,NA
280,NA,NA,503.435,3.563,2235.253,NA,NA
281,0.107,8.435,78.519,64.556,366.42,59.042,0.161
282,0.041,26.472,644.234,55.989,1958.472,132.36,0.068
283,NA,0,NA,NA,NA,0,NA
284,NA,0,NA,15.368,NA,14.966,NA
285,0.012,7.428,601.128,29.128,1337.995,66.852,0.05
286,0,0,214.594,29.742,684.018,6.979,0.01
287,0,0,49.883,64.775,268.122,0,0
288,0,0,32.934,63.786,197.602,0,0
289,0,0,482.669,66.676,825.901,17.072,0.021
290,0.545,11.41,20.955,72.848,199.073,11.41,0.057
291,0,0,188.556,54.762,844.732,63.159,0.075
292,0,0,233.043,59.616,985.953,32.211,0.033
293,0,0,139.145,54.779,742.108,0,0
294,0.08,8.59,107.074,52.121,651.368,60.129,0.092
295,NA,16.487,0,36.647,51.296,32.974,0.643
296,0.262,25.489,97.153,33.374,1269.932,50.977,0.04
297,0,0,118.963,5.862,713.776,89.37,0.125
298,0,0,144.825,46.657,627.577,6.645,0.011
299,0.169,12.251,72.46,43.179,307.955,24.502,0.08
300,0.018,8.414,471.625,48.098,1777.665,67.309,0.038
301,0,0,596.208,42.112,3378.513,72.509,0.021
302,0.032,34.857,1090.918,19.679,4147.76,113.284,0.027
303,0.07,39.861,569.612,42.166,2324.384,79.723,0.034
304,NA,NA,485.707,6.300,1672.991,NA,NA
305,NA,NA,57.073,4.361,627.804,NA,NA
306,0,0,629.421,66.337,1769.184,28.616,0.016
307,0.038,24.358,644.892,43.457,3418.411,219.223,0.064
308,0.008,12.957,1604.254,16.313,5628.039,32.392,0.006
309,NA,0,NA,5.002,NA,56.81,NA
310,0,0,300.23,13.651,1501.149,40.823,0.027
311,0,0,27.111,4.982,319.914,0,0
312,0,0,126.514,63.124,453.341,0,0
313,NA,NA,548.011,60.133,1301.004,NA,NA
314,0,0,449.929,68.483,1147.318,0,0
